The Farm Winery,Adelaida District,California,US,4/1/2018,4/1/2018,
Peñalolen,,Casablanca Valley,Chile,4/1/2018,4/1/2018,
Planeta,Cerasuolo di Vittoria,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Riglos,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Santa Carolina,,Leyda Valley,Chile,4/1/2018,4/1/2018,
Ahnfeldt,Napa Valley,California,US,4/1/2018,4/1/2018,
Alderbrook,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Calcareous,Paso Robles,California,US,4/1/2018,4/1/2018,
Les Vignerons de la Méditerranée,Vin de Pays d'Oc,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Lieb,North Fork of Long Island,New York,US,4/1/2018,4/1/2018,
Porta,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Rockroom Winemaking Cooperative,Santa Lucia Highlands,California,US,4/1/2018,4/1/2018,
Coastview,Monterey County,California,US,4/1/2018,4/1/2018,
Cumbre of Vine Hill,Santa Cruz Mountains,California,US,4/1/2018,4/1/2018,
Henri de Villamont,Rully,Burgundy,France,4/1/2018,4/1/2018,
Bodega NQN,Neuquén,Other,Argentina,4/1/2018,4/1/2018,
Château d'Azur,Bandol,Provence,France,4/1/2018,4/1/2018,
Château de Jurque,Jurançon Sec,Southwest France,France,4/1/2018,4/1/2018,
Château Labastidié,Gaillac,Southwest France,France,4/1/2018,4/1/2018,
Domaine Berrod,Beaujolais-Villages,Beaujolais,France,4/1/2018,4/1/2018,
Fall Line,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Mirabelle,California,California,US,4/1/2018,4/1/2018,
Mommessin,Fleurie,Beaujolais,France,4/1/2018,4/1/2018,
Nemeion Estate,,Nemea,Greece,4/1/2018,4/1/2018,
Purple Star,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Jean-Michel Dupré,Beaujolais-Villages,Beaujolais,France,4/1/2018,4/1/2018,
Kourtaki,,Samos,Greece,4/1/2018,4/1/2018,
Underground Wine Project,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Ventisquero,,Leyda Valley,Chile,4/1/2018,4/1/2018,
Flam,,Judean Hills,Israel,4/1/2018,4/1/2018,
Martín Berdugo,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Wiegner,Terre Siciliane,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Jack Creek,Central Coast,California,US,4/1/2018,4/1/2018,
Karl Josef,,Mosel,Germany,4/1/2018,4/1/2018,
Summerland,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Tascante,Sicilia,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Le Charmel,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Masseria Altemura,Salento,Southern Italy,Italy,4/1/2018,4/1/2018,
Mussel Bay,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Perla del Garda,Lugana,Lombardy,Italy,4/1/2018,4/1/2018,
Rippon,,Central Otago,New Zealand,4/1/2018,4/1/2018,
Eradus,,Awatere Valley,New Zealand,4/1/2018,4/1/2018,
Filippi,Soave Colli Scaligeri,Veneto,Italy,4/1/2018,4/1/2018,
Fox Run,Seneca Lake,New York,US,4/1/2018,4/1/2018,
Echo Bay,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Jean-Luc and Paul Aegerter,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Mercer Canyons,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Prime Solum,Napa Valley,California,US,4/1/2018,4/1/2018,
Quilt,Napa Valley,California,US,4/1/2018,4/1/2018,
Bodegas Paso Robles,Paso Robles,California,US,4/1/2018,4/1/2018,
Brokenwood,South Eastern Australia,Australia Other,Australia,4/1/2018,4/1/2018,
Cameron Hughes,Los Carneros,California,US,4/1/2018,4/1/2018,
Colosi,Passito di Pantelleria,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Columbia Crest,Washington,Washington,US,4/1/2018,4/1/2018,
Courtney Benham,Edna Valley,California,US,4/1/2018,4/1/2018,
Dusted Valley,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Furthermore,Russian River Valley,California,US,4/1/2018,4/1/2018,
Giuseppe Lonardi,Recioto della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Hauck,Sonoma County,California,US,4/1/2018,4/1/2018,
Fongaro,Monti Lessini,Veneto,Italy,4/1/2018,4/1/2018,
Viña El Cerno,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Vrede en Lust,,Elgin,South Africa,4/1/2018,4/1/2018,
Mocali,Moscadello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Murphy's Law,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
St Hallett,Barossa,South Australia,Australia,4/1/2018,4/1/2018,
Pomar Junction,Monterey County,California,US,4/1/2018,4/1/2018,
Rooiberg,,Robertson,South Africa,4/1/2018,4/1/2018,
Sea Mist,Russian River Valley,California,US,4/1/2018,4/1/2018,
Les Vignobles Gueissard,Bandol,Provence,France,4/1/2018,4/1/2018,
Anaba,Moon Mountain District Sonoma County,California,US,4/1/2018,4/1/2018,
Anaba,Carneros,California,US,4/1/2018,4/1/2018,
Angelo Cellars,Napa Valley,California,US,4/1/2018,4/1/2018,
Ankal,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Bergström,Chehalem Mountains,Oregon,US,4/1/2018,4/1/2018,
Carlson,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Château Gassier,Côtes de Provence Sainte-Victoire,Provence,France,4/1/2018,4/1/2018,
Château la Mascaronne,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Château Sainte-Béatrice,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Domaine Capmartin,Madiran,Southwest France,France,4/1/2018,4/1/2018,
Domaine Dragon,Côtes de Provence Sainte-Victoire,Provence,France,4/1/2018,4/1/2018,
Francis Coppola,Alexander Valley,California,US,4/1/2018,4/1/2018,
Château Philippe-le-Hardi,Saint-Aubin,Burgundy,France,4/1/2018,4/1/2018,
Crossfork Creek,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Domaine Vincent Girardin,Meursault,Burgundy,France,4/1/2018,4/1/2018,
Il Roverone,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Nathalie et Gilles Fèvre,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Nuiton-Beaunoy,Pommard,Burgundy,France,4/1/2018,4/1/2018,
Open Range,California,California,US,4/1/2018,4/1/2018,
Phillips Hill,Mendocino,California,US,4/1/2018,4/1/2018,
Prà,Valpolicella Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Secondo Marco,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Joseph Drouhin,Côte de Nuits-Villages,Burgundy,France,4/1/2018,4/1/2018,
Domaine Amirault,Saint-Nicolas-de-Bourgueil,Loire Valley,France,4/1/2018,4/1/2018,
Domaine Roger & Christophe Moreux,Sancerre,Loire Valley,France,4/1/2018,4/1/2018,
Tiefenbrunner,Vigneti delle Dolomiti,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Véronique Günther-Chereau,Muscadet Sèvre et Maine,Loire Valley,France,4/1/2018,4/1/2018,
Sera Fina,Amador County,California,US,4/1/2018,4/1/2018,
Siduri,Eola-Amity Hills,Oregon,US,4/1/2018,4/1/2018,
Staatliche Weinbaudomäne Oppenheim,,Rheinhessen,Germany,4/1/2018,4/1/2018,
Tanner,Sierra Foothills,California,US,4/1/2018,4/1/2018,
VGS Chateau Potelle,Mount Veeder,California,US,4/1/2018,4/1/2018,
Pittacum,Vino de la Tierra de Castilla y León,Northern Spain,Spain,4/1/2018,4/1/2018,
Siduri,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Quanta Terra,,Douro,Portugal,4/1/2018,4/1/2018,
Straight Line,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Château de Lancyre,Coteaux du Languedoc Pic Saint Loup,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Domaine du Prince,Cahors,Southwest France,France,4/1/2018,4/1/2018,
Farnese,Montepulciano d'Abruzzo,Central Italy,Italy,4/1/2018,4/1/2018,
Fontes & Phillips,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Altas Quintas,,Alentejano,Portugal,4/1/2018,4/1/2018,
Cantine Cipressi,Molise,Southern Italy,Italy,4/1/2018,4/1/2018,
Keating,California,California,US,4/1/2018,4/1/2018,
Niepoort,,Douro,Portugal,4/1/2018,4/1/2018,
Ferraud et Fils,Juliénas,Beaujolais,France,4/1/2018,4/1/2018,
HKG,Russian River Valley,California,US,4/1/2018,4/1/2018,
Signaterra,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Sinclair Estate Vineyards,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Sumarroca,Cava,Catalonia,Spain,4/1/2018,4/1/2018,
Coto de Gomariz,Ribeiro,Galicia,Spain,4/1/2018,4/1/2018,
Diemersfontein,,Wellington,South Africa,4/1/2018,4/1/2018,
De Coelo,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Domaine de Billards,Saint-Amour,Beaujolais,France,4/1/2018,4/1/2018,
Gaël Martin,Saint-Amour,Beaujolais,France,4/1/2018,4/1/2018,
Canti,Pavia,Lombardy,Italy,4/1/2018,4/1/2018,
Jean-Claude Debeaune,Brouilly,Beaujolais,France,4/1/2018,4/1/2018,
Tres Valles,,Valle de Guadalupe,Mexico,4/1/2018,4/1/2018,
Venturini Baldini,Emilia,Central Italy,Italy,4/1/2018,4/1/2018,
Greg Norman Estates,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Pizzolato,Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Santero,Puglia,Southern Italy,Italy,4/1/2018,4/1/2018,
Bera,Asti,Piedmont,Italy,4/1/2018,4/1/2018,
Cà Montanari,Lambrusco Grasparossa di Castelvetro,Central Italy,Italy,4/1/2018,4/1/2018,
Canti,Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Cantina di Puianello,Lambrusco Grasparossa di Castelvetro,Central Italy,Italy,4/1/2018,4/1/2018,
Enza,Prosecco,Veneto,Italy,4/1/2018,4/1/2018,
Trinitas,Carneros,California,US,4/1/2018,4/1/2018,
Unión de Productores del Valle (UPVG),,Valle de Guadalupe,Mexico,4/1/2018,4/1/2018,
Charles Orban,Champagne,Champagne,France,4/1/2018,4/1/2018,
Highway 12,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Zefina,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Thurston Wolfe,Washington,Washington,US,4/1/2018,4/1/2018,
Tsillan Cellars,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Aurum,,Central Otago,New Zealand,4/1/2018,4/1/2018,
Clos du Bois,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Pellegrini,Alexander Valley,California,US,4/1/2018,4/1/2018,
Pellegrini,Russian River Valley,California,US,4/1/2018,4/1/2018,
Side Job,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
MacMurray Ranch,Russian River Valley,California,US,4/1/2018,4/1/2018,
Meyer Family Cellars,Mendocino County,California,US,4/1/2018,4/1/2018,
Cru Vin Dogs,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Delbeck,Champagne,Champagne,France,4/1/2018,4/1/2018,
Fromm Winery,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Antonio Caggiano,Taurasi,Southern Italy,Italy,4/1/2018,4/1/2018,
Charlier & Fils,Champagne,Champagne,France,4/1/2018,4/1/2018,
Fattoria Ambra,Carmignano,Tuscany,Italy,4/1/2018,4/1/2018,
Karl Schaefer,,Pfalz,Germany,4/1/2018,4/1/2018,
Valentin Leflaive,Champagne,Champagne,France,4/1/2018,4/1/2018,
Betz Family,Red Mountain,Washington,US,4/1/2018,4/1/2018,
Dominio Basconcillos,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Patel,Coombsville,California,US,4/1/2018,4/1/2018,
Tenuta Le Calcinaie,Vernaccia di San Gimignano,Tuscany,Italy,4/1/2018,4/1/2018,
Montalbera,Ruché di Castagnole Monferrato,Piedmont,Italy,4/1/2018,4/1/2018,
Torraccia del Piantavigna,Ghemme,Piedmont,Italy,4/1/2018,4/1/2018,
Estate 1856,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Villa Sparina,Piedmont,Piedmont,Italy,4/1/2018,4/1/2018,
Viña La Fortuna,,Curicó Valley,Chile,4/1/2018,4/1/2018,
Loma Prieta,Lodi,California,US,4/1/2018,4/1/2018,
Mony,,Samson,Israel,4/1/2018,4/1/2018,
Pascal Jolivet,Val de Loire,Loire Valley,France,4/1/2018,4/1/2018,
Demarie,Barbera d'Alba Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Forti del Vento,Monferrato,Piedmont,Italy,4/1/2018,4/1/2018,
Château Plaisance,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Castello dei Rampolla,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Clos de la Tech,Santa Cruz Mountains,California,US,4/1/2018,4/1/2018,
Spottswoode,St. Helena,California,US,4/1/2018,4/1/2018,
Il Colle,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Il Paradiso di Manfredi,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Hall,Mount Veeder,California,US,4/1/2018,4/1/2018,
Guarachi Family,St. Helena,California,US,4/1/2018,4/1/2018,
Volpaia,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Langmeil,Barossa,South Australia,Australia,4/1/2018,4/1/2018,
Matthias Müller,,Mittelrhein,Germany,4/1/2018,4/1/2018,
Baxter,Mendocino,California,US,4/1/2018,4/1/2018,
Cinnabar,Alexander Valley,California,US,4/1/2018,4/1/2018,
Domaine Faiveley,Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Domenico Fraccaroli,Valpolicella Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Scriani,Valpolicella Classico Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Tinazzi,Valpolicella Superiore Ripasso,Veneto,Italy,4/1/2018,4/1/2018,
Tommasi,Soave Classico,Veneto,Italy,4/1/2018,4/1/2018,
Finca Torremilanos,Vino de la Tierra de Castilla y León,Northern Spain,Spain,4/1/2018,4/1/2018,
Lorca,Bullas,Levante,Spain,4/1/2018,4/1/2018,
Mount Pleasant Winery,Augusta,Missouri,US,4/1/2018,4/1/2018,
Ackerman,Napa Valley,California,US,4/1/2018,4/1/2018,
Bouchard Père & Fils,Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Boxwood,Virginia,Virginia,US,4/1/2018,4/1/2018,
Colinas do Douro,,Douro,Portugal,4/1/2018,4/1/2018,
Dehlinger,Russian River Valley,California,US,4/1/2018,4/1/2018,
Charles-Gilbert de Vindé,Champagne,Champagne,France,4/1/2018,4/1/2018,
Harper Voit,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Michaud,Chalone,California,US,4/1/2018,4/1/2018,
Monte da Capela,,Alentejo,Portugal,4/1/2018,4/1/2018,
Pulchella,Paso Robles,California,US,4/1/2018,4/1/2018,
Müller-Grossmann,,Kremstal,Austria,4/1/2018,4/1/2018,
Setzer,,Weinviertel,Austria,4/1/2018,4/1/2018,
Sidebar,High Valley,California,US,4/1/2018,4/1/2018,
Foxes Island,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Acacia,Russian River Valley,California,US,4/1/2018,4/1/2018,
Buehler,Russian River Valley,California,US,4/1/2018,4/1/2018,
Liana Estates,Mendocino,California,US,4/1/2018,4/1/2018,
Manuel Olivier,Nuits-St.-Georges,Burgundy,France,4/1/2018,4/1/2018,
Manuel Olivier,Meursault,Burgundy,France,4/1/2018,4/1/2018,
Novaia,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Domaine Ellevin,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Dominio IV,Columbia Gorge (OR),Oregon,US,4/1/2018,4/1/2018,
Croft,,Port,Portugal,4/1/2018,4/1/2018,
Domìni Veneti,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Masari,Vino Spumante,Italy Other,Italy,4/1/2018,4/1/2018,
R2,California,California,US,4/1/2018,4/1/2018,
Diamond Ridge Vineyards,Clear Lake,California,US,4/1/2018,4/1/2018,
La Rochelle,Russian River Valley,California,US,4/1/2018,4/1/2018,
Nieto Senetiner,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Riebeek Cellars,,Swartland,South Africa,4/1/2018,4/1/2018,
Bodegas Aragonesas,Campo de Borja,Northern Spain,Spain,4/1/2018,4/1/2018,
Château Cadillac,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Duca del Frassino,Venezie,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Durbanville Hills,,Durbanville,South Africa,4/1/2018,4/1/2018,
HammerSky,Paso Robles,California,US,4/1/2018,4/1/2018,
Suncé Vineyard & Winery,Russian River Valley,California,US,4/1/2018,4/1/2018,
Wilridge,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Grand Bourgeau,Côtes de Bourg,Bordeaux,France,4/1/2018,4/1/2018,
Ressia,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Torlasco,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Jed Wines,Uco Valley,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Las Rocas de San Alejandro,Calatayud,Northern Spain,Spain,4/1/2018,4/1/2018,
Maison Malet Roquefort,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Mauro Sebaste,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Monfort-Bellevue,Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Château du Cros,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Y Rousseau,Russian River Valley,California,US,4/1/2018,4/1/2018,
Bonny Doon,Arroyo Seco,California,US,4/1/2018,4/1/2018,
Bougrier,Touraine,Loire Valley,France,4/1/2018,4/1/2018,
Château Timberlay,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Château Tour de Guiet,Bordeaux Rosé,Bordeaux,France,4/1/2018,4/1/2018,
Costa di Bussia,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Arizona Stronghold,,America,US,4/1/2018,4/1/2018,
Beronia,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
District,Oakville,California,US,4/1/2018,4/1/2018,
Evening Land,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Agustinos,,Maipo Valley,Chile,4/1/2018,4/1/2018,
Keira,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Educated Guess,Carneros,California,US,4/1/2018,4/1/2018,
Bossy Boots,,Maule Valley,Chile,4/1/2018,4/1/2018,
Diliberto,North Fork of Long Island,New York,US,4/1/2018,4/1/2018,
Impostino,Montecucco,Tuscany,Italy,4/1/2018,4/1/2018,
Camp,Sonoma County,California,US,4/1/2018,4/1/2018,
Ernest & Julio Gallo,Northern Sonoma,California,US,4/1/2018,4/1/2018,
Fattoria Il Muro,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Terre di Talamo,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Hillersden,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Williamson Vineyard,,Idaho,US,4/1/2018,4/1/2018,
Poggio al Chiuso,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Luiano,Toscana,Tuscany,Italy,4/1/2018,4/1/2018,
Orsi Family Vineyards,Russian River Valley,California,US,4/1/2018,4/1/2018,
Mi Sueño,Los Carneros,California,US,4/1/2018,4/1/2018,
Olivier Leflaive,Bourgogne,Burgundy,France,4/1/2018,4/1/2018,
Roche de Bellene,Meursault,Burgundy,France,4/1/2018,4/1/2018,
San Rustico,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Tenuta Sant'Antonio,Amarone della Valpolicella,Veneto,Italy,4/1/2018,4/1/2018,
Clos de Gat,,Judean Hills,Israel,4/1/2018,4/1/2018,
David Sterza,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Domaine des Béguineries,Chinon,Loire Valley,France,4/1/2018,4/1/2018,
Domaine Gueguen,Chablis,Burgundy,France,4/1/2018,4/1/2018,
Giocato,,Primorska,Slovenia,4/1/2018,4/1/2018,
Parducci,Mendocino County,California,US,4/1/2018,4/1/2018,
Château Margaux,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Tanner DaFoe,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Mascota,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Nickel & Nickel,Rutherford,California,US,4/1/2018,4/1/2018,
Il Grappolo,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Waters,Washington,Washington,US,4/1/2018,4/1/2018,
Waters,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Château Providence,Pomerol,Bordeaux,France,4/1/2018,4/1/2018,
Waters,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Williams Selyem,San Benito County,California,US,4/1/2018,4/1/2018,
Pecci Celestino,Brunello di Montalcino,Tuscany,Italy,4/1/2018,4/1/2018,
Enoteca Five,California,California,US,4/1/2018,4/1/2018,
Fogline Vineyards,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Gavilan,Chalone,California,US,4/1/2018,4/1/2018,
Mersenne,Rutherford,California,US,4/1/2018,4/1/2018,
Rasa,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Reynvaan Family Vineyards,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Storrs,Santa Cruz Mountains,California,US,4/1/2018,4/1/2018,
Cave des Producteurs de Jurançon,Jurançon,Southwest France,France,4/1/2018,4/1/2018,
Jean-Luc and Paul Aegerter,Bonnes-Mares,Burgundy,France,4/1/2018,4/1/2018,
Louis Jadot,Puligny-Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Olivier Leflaive,Chassagne-Montrachet,Burgundy,France,4/1/2018,4/1/2018,
Shane Wines,Russian River Valley,California,US,4/1/2018,4/1/2018,
August Kesseler,,Rheingau,Germany,4/1/2018,4/1/2018,
Mooney Family,Santa Lucia Highlands,California,US,4/1/2018,4/1/2018,
Domaine Barraud,Pouilly-Fuissé,Burgundy,France,4/1/2018,4/1/2018,
Dominique Cornin,Pouilly-Fuissé,Burgundy,France,4/1/2018,4/1/2018,
Tildio,Lake Chelan,Washington,US,4/1/2018,4/1/2018,
Jacques Simonin,Pouilly-Fuissé,Burgundy,France,4/1/2018,4/1/2018,
Louis Latour,Mâcon-Lugny,Burgundy,France,4/1/2018,4/1/2018,
Krutzler,,Eisenberg,Austria,4/1/2018,4/1/2018,
Lexington,Santa Cruz Mountains,California,US,4/1/2018,4/1/2018,
Alain Brumont,Vin de Pays des Côtes de Gascogne,Southwest France,France,4/1/2018,4/1/2018,
Schmelz,,Wachau,Austria,4/1/2018,4/1/2018,
Kilikanoon,McLaren Vale,South Australia,Australia,4/1/2018,4/1/2018,
Pichler-Krutzler,,Wachau,Austria,4/1/2018,4/1/2018,
Sordo,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Borgogno,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Vadin-Plateau,Champagne,Champagne,France,4/1/2018,4/1/2018,
Weixelbaum,,Kamptal,Austria,4/1/2018,4/1/2018,
Ebner-Ebenauer,,Weinviertel,Austria,4/1/2018,4/1/2018,
Lar de Paula,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Bodegas Eguren,Vino de la Tierra de Castilla,Central Spain,Spain,4/1/2018,4/1/2018,
Le Vigne di Alice,Prosecco di Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
Monasterio de las Viñas,Cariñena,Northern Spain,Spain,4/1/2018,4/1/2018,
Villa Viña,Salta,Other,Argentina,4/1/2018,4/1/2018,
Reula,Cariñena,Northern Spain,Spain,4/1/2018,4/1/2018,
Ku Dé Ta,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Tedeschi,Amarone della Valpolicella Classico,Veneto,Italy,4/1/2018,4/1/2018,
Thurston Wolfe,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Broadbent,,Port,Portugal,4/1/2018,4/1/2018,
Agly Brothers,Côtes du Roussillon,Languedoc-Roussillon,France,4/1/2018,4/1/2018,
Duorum,,Port,Portugal,4/1/2018,4/1/2018,
Elevation Cellars,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Forgeron,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Sartori,Amarone della Valpolicella,Veneto,Italy,4/1/2018,4/1/2018,
JR Wine,Rutherford,California,US,4/1/2018,4/1/2018,
Marietta Cellars,McDowell Valley,California,US,4/1/2018,4/1/2018,
Inglenook,Rutherford,California,US,4/1/2018,4/1/2018,
Bestheim,Alsace,Alsace,France,4/1/2018,4/1/2018,
Buena Vista,Napa Valley,California,US,4/1/2018,4/1/2018,
Della,Russian River Valley,California,US,4/1/2018,4/1/2018,
Sean Thackrey,Marin County,California,US,4/1/2018,4/1/2018,
David Moreau,Santenay,Burgundy,France,4/1/2018,4/1/2018,
Domaine Chantal Lescure,Nuits-St.-Georges,Burgundy,France,4/1/2018,4/1/2018,
Domaine Dublère,Savigny-lès-Beaune,Burgundy,France,4/1/2018,4/1/2018,
Les Vins de Vienne,Condrieu,Rhône Valley,France,4/1/2018,4/1/2018,
Louis Latour,Corton,Burgundy,France,4/1/2018,4/1/2018,
Pierre Amadieu,Gigondas,Rhône Valley,France,4/1/2018,4/1/2018,
Alex Gambal,Meursault,Burgundy,France,4/1/2018,4/1/2018,
Alex Gambal,Beaune,Burgundy,France,4/1/2018,4/1/2018,
Bouchard Père & Fils,Pommard,Burgundy,France,4/1/2018,4/1/2018,
Jones of Washington,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
La Battistina,Gavi,Piedmont,Italy,4/1/2018,4/1/2018,
Mario Marengo,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Michele Taliano,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Rodrigue Molyneaux,Livermore Valley,California,US,4/1/2018,4/1/2018,
Seghesio,Russian River Valley,California,US,4/1/2018,4/1/2018,
Spiropoulos,,Nemea,Greece,4/1/2018,4/1/2018,
Testa Vineyards,Mendocino County,California,US,4/1/2018,4/1/2018,
Tolosa,Central Coast,California,US,4/1/2018,4/1/2018,
Kir-Yianni,,Macedonia,Greece,4/1/2018,4/1/2018,
